id,id2,county,total,total_q,male_20_years,male_20_years_q,male_21_years,male_21_years_q,male_22_to_24_years,male_22_to_24_years_q,male_25_to_29_years,male_25_to_29_years_q,male_30_to_34_years,male_30_to_34_years_q,female_20_years,female_20_years_q,female_21_years,female_21_years_q,female_22_to_24_years,female_22_to_24_years_q,female_25_to_29_years,female_25_to_29_years_q,female_30_to_34_years,female_30_to_34_years_q,total_not_hispanic_or_latino,total_not_hispanic_or_latino_q,total_hispanic_or_latino,total_hispanic_or_latino_q,total_hispanic_or_latino_mexican,total_hispanic_or_latino_mexican_q,total_hispanic_or_latino_puerto_rican,total_hispanic_or_latino_puerto_rican_q,total_hispanic_or_latino_cuban,total_hispanic_or_latino_cuban_q,total_hispanic_or_latino_dominican_dominican_republic,total_hispanic_or_latino_dominican_dominican_republic_q,total_hispanic_or_latino_central_american,total_hispanic_or_latino_central_american_q,total_hispanic_or_latino_central_american_costa_rican,total_hispanic_or_latino_central_american_costa_rican_q,total_hispanic_or_latino_south_american,total_hispanic_or_latino_south_american_q,total_less_than_high_school_graduate,total_less_than_high_school_graduate_q,male_less_than_high_school_graduate,male_less_than_high_school_graduate_q,female_less_than_high_school_graduate,female_less_than_high_school_graduate_q,total_high_school_graduate_includes_equivalency,total_high_school_graduate_includes_equivalency_q,male_high_school_graduate_includes_equivalency,male_high_school_graduate_includes_equivalency_q,female_high_school_graduate_includes_equivalency,female_high_school_graduate_includes_equivalency_q,total_some_college_or_associates_degree,total_some_college_or_associates_degree_q,male_some_college_or_associates_degree,male_some_college_or_associates_degree_q,female_some_college_or_associates_degree,female_some_college_or_associates_degree_q,total_bachelors_degree_or_higher,total_bachelors_degree_or_higher_q,male_bachelors_degree_or_higher,male_bachelors_degree_or_higher_q,female_bachelors_degree_or_higher,female_bachelors_degree_or_higher_q,total_population_25_years_and_over,total_population_25_years_and_over_q,male_population_25_years_and_over,male_population_25_years_and_over_q,female_population_25_years_and_over,female_population_25_years_and_over_q,in_labor_force_population_16_years_and_over,in_labor_force_population_16_years_and_over_q,employed_population_16_years_and_over,employed_population_16_years_and_over_q,unemployment_rate_population_16_years_and_over,unemployment_rate_population_16_years_and_over_q
0500000US01001,01001,"Autauga County, Alabama",55136,4,467,4,304,2,879,2,1651,4,1608,3,269,2,233,2,1131,4,1724,4,1713,4,53745,4,1391,2,820,2,342,5,54,4,10,4,113,3,0,2,11,2,21.1,4,20.2,3,22.1,5,37.7,4,38.8,3,36.6,4,36.8,2,37.3,3,36.2,2,4.4,3,3.7,3,5.1,2,36233,2,17221,1,19012,3,63.4,4,56.8,3,8.5,3
0500000US01003,01003,"Baldwin County, Alabama",191205,5,764,1,976,2,3409,3,5385,3,5530,3,907,2,1326,4,2837,2,5250,3,5685,4,182575,3,8630,3,5899,3,561,4,260,4,7,4,663,4,78,5,786,5,20.7,4,24.4,4,16.9,4,32.3,2,35.4,3,29.1,3,38.4,1,31.0,2,46.1,3,8.5,4,9.2,5,7.9,3,133267,4,63815,3,69452,4,60.0,3,54.7,3,8.6,3
0500000US01005,01005,"Barbour County, Alabama",27119,3,150,2,180,3,834,5,1159,5,1183,5,199,4,58,1,419,2,836,4,672,2,25836,3,1283,3,941,4,82,4,0,2,0,4,29,3,0,4,20,3,24.3,4,32.9,5,11.1,2,35.7,3,32.3,2,40.9,5,37.1,3,31.8,2,45.4,3,2.9,2,3.0,3,2.7,2,18836,4,10046,5,8790,1,49.3,1,42.3,1,14.2,5
0500000US01007,01007,"Bibb County, Alabama",22653,3,78,1,153,3,477,4,948,5,921,5,149,3,216,5,409,4,629,3,608,2,22198,4,455,2,210,2,41,3,0,2,0,3,6,2,0,3,124,5,27.0,5,29.7,5,23.8,5,33.2,3,37.8,3,27.7,2,38.2,3,32.5,3,45.1,3,1.6,1,0.1,1,3.4,2,15683,3,8390,5,7293,1,48.3,1,43.0,1,10.9,4
0500000US01009,01009,"Blount County, Alabama",57645,4,300,2,308,2,971,3,1669,3,1751,4,328,3,413,4,820,2,1629,3,1687,4,52765,2,4880,4,4459,4,185,4,20,3,0,1,114,3,0,4,13,2,24.3,4,24.4,4,24.1,5,34.6,3,35.4,3,33.7,4,38.7,2,37.0,3,40.6,2,2.4,2,3.2,3,1.6,1,39052,3,18979,3,20073,3,54.2,2,49.2,2,9.3,4
0500000US01011,01011,"Bullock County, Alabama",10693,2,155,5,133,5,264,5,331,4,421,5,46,2,100,5,217,4,291,3,304,3,10262,3,431,3,431,4,0,1,0,2,0,1,0,1,0,1,0,1,20.0,4,26.6,4,11.5,2,53.8,5,54.4,5,52.9,5,26.3,4,19.0,1,35.6,1,0.0,1,0.0,1,0.0,1,7283,3,3943,5,3340,1,53.9,2,44.5,1,17.4,5
0500000US01013,01013,"Butler County, Alabama",20523,3,65,1,149,4,367,3,521,2,573,2,110,3,108,3,476,5,666,5,704,5,20290,5,233,1,176,2,0,1,0,2,0,1,35,3,0,4,0,1,22.0,4,25.5,4,18.7,4,32.8,3,39.4,3,26.3,2,43.2,4,31.5,2,54.6,5,1.9,1,3.6,3,0.4,1,14041,3,6222,1,7819,5,54.4,2,47.6,2,12.2,5
0500000US01015,01015,"Calhoun County, Alabama",117186,5,1185,5,1097,5,2007,3,3697,4,3472,3,1059,5,848,4,2563,5,3898,5,3646,4,113169,3,4017,3,2820,3,542,4,42,3,0,1,191,3,0,4,37,3,15.8,2,20.3,3,11.4,2,30.3,2,29.9,2,30.8,3,49.6,1,47.8,5,51.3,4,4.3,3,2.0,2,6.5,3,78667,2,36891,2,41776,4,57.4,2,49.4,2,13.5,5
0500000US01017,01017,"Chambers County, Alabama",34091,3,231,3,225,3,592,3,935,3,910,2,143,2,175,3,721,5,995,4,1006,4,33933,5,158,1,96,1,0,1,0,2,0,1,3,2,0,3,18,3,13.8,2,18.7,3,8.7,1,46.8,5,49.5,5,44.0,5,35.6,2,27.6,2,43.9,3,3.9,2,4.3,3,3.5,2,23821,4,11047,2,12774,5,54.8,2,47.9,2,12.7,5
0500000US01019,01019,"Cherokee County, Alabama",26042,3,50,1,322,5,318,1,579,1,652,1,217,4,81,1,414,3,633,2,666,2,25667,5,375,1,187,1,13,2,26,4,0,2,37,3,0,4,0,2,21.1,4,17.5,2,24.9,5,35.2,3,40.6,4,29.6,3,39.6,3,39.5,4,39.7,2,4.0,2,2.4,2,5.7,3,18806,5,9232,4,9574,5,54.2,2,49.0,2,9.6,4
0500000US01021,01021,"Chilton County, Alabama",43781,4,248,2,179,1,962,4,1328,4,1419,4,222,2,363,5,796,4,1374,4,1515,5,40415,2,3366,4,3070,4,47,2,68,5,0,2,74,3,0,4,0,1,14.2,2,17.5,2,10.6,2,42.9,5,48.0,5,37.4,4,39.5,2,33.9,3,45.5,3,3.4,2,0.6,1,6.5,3,29393,2,14309,3,15084,3,57.3,2,51.7,2,9.7,4
0500000US01023,01023,"Choctaw County, Alabama",13546,2,47,1,44,1,311,5,281,1,332,1,39,1,120,5,210,3,324,2,380,3,13490,5,56,1,27,1,20,3,0,1,0,3,2,2,0,3,0,1,21.0,4,21.3,3,20.7,4,42.3,5,47.7,5,36.4,4,34.5,4,27.3,2,42.5,2,2.1,1,3.8,3,0.4,1,9564,4,4421,2,5143,5,49.2,1,42.6,1,13.4,5
0500000US01025,01025,"Clarke County, Alabama",25331,3,195,4,156,3,484,4,594,1,662,2,329,5,64,1,343,2,658,3,805,4,25221,5,110,1,79,1,12,2,0,1,0,3,17,2,0,3,2,2,24.6,4,24.7,4,24.4,5,53.7,5,56.7,5,50.7,5,20.6,2,17.3,1,23.9,1,1.2,1,1.3,2,1.0,1,17220,3,7914,1,9306,5,51.3,1,41.1,1,19.9,5
0500000US01027,01027,"Clay County, Alabama",13617,2,61,2,82,3,118,1,344,2,353,2,119,5,41,1,209,2,316,2,449,5,13193,3,424,3,259,3,0,1,128,5,0,2,37,4,0,2,0,2,15.1,2,13.1,1,16.9,4,36.6,3,35.8,3,37.3,4,40.6,4,40.8,4,40.4,2,7.8,4,10.3,5,5.5,3,9620,4,4582,3,5038,5,52.1,1,46.4,1,10.9,4
0500000US01029,01029,"Cleburne County, Alabama",14990,2,71,2,45,1,277,3,372,2,384,2,124,4,66,2,204,2,461,4,374,2,14659,4,331,2,294,3,0,1,27,5,0,2,0,1,0,1,0,1,19.9,3,18.8,3,21.0,4,37.6,4,36.9,3,38.4,4,37.2,4,34.4,3,40.0,2,5.2,3,9.9,5,0.5,1,10308,3,5007,3,5301,3,54.3,2,49.7,2,8.6,3
0500000US01031,01031,"Coffee County, Alabama",50726,4,363,3,184,1,1051,4,1873,5,1682,4,363,4,434,5,660,2,1650,5,1478,3,47490,2,3236,4,1671,4,603,5,44,4,24,4,663,5,124,5,26,3,19.6,3,19.3,3,19.9,4,28.9,2,28.1,1,29.7,3,43.8,2,42.6,4,45.1,3,7.8,4,10.0,5,5.4,2,34363,3,16686,3,17677,3,57.9,2,50.2,2,7.3,2
0500000US01033,01033,"Colbert County, Alabama",54491,4,214,1,445,4,937,3,1482,3,1580,3,327,3,281,3,994,4,1602,4,1584,3,53215,4,1276,2,909,3,168,4,41,4,21,4,45,2,0,4,60,3,21.4,4,18.6,3,24.0,5,31.2,2,42.6,4,20.5,1,45.6,2,38.1,3,52.6,4,1.8,1,0.8,2,2.8,2,38009,4,17874,3,20135,5,53.6,2,48.1,2,10.0,4
0500000US01035,01035,"Conecuh County, Alabama",12985,2,64,2,67,2,313,5,298,1,304,1,29,1,67,3,356,5,301,2,363,3,12779,4,206,2,167,2,22,3,0,2,0,3,0,1,0,1,0,1,26.8,5,32.6,5,20.4,4,43.6,5,55.5,5,30.5,3,27.0,4,10.7,1,44.9,3,2.6,2,1.2,2,4.2,2,8930,3,4166,2,4764,5,47.3,1,34.7,1,26.7,5
0500000US01037,01037,"Coosa County, Alabama",11247,2,113,5,92,4,136,1,305,3,294,2,76,4,70,3,117,1,266,2,311,3,11009,4,238,2,238,3,0,1,0,1,0,1,0,1,0,1,0,1,19.1,3,25.2,4,11.6,2,25.8,1,24.1,1,28.0,2,55.1,5,50.7,5,60.5,5,0.0,1,0.0,1,0.0,1,8218,5,4116,5,4102,4,51.8,1,41.5,1,19.9,5
0500000US01039,01039,"Covington County, Alabama",37881,4,258,3,305,4,535,2,994,2,1035,2,328,5,195,3,567,2,1060,3,1086,3,37317,5,564,1,329,2,26,2,12,3,37,5,58,3,11,5,79,4,23.7,4,23.7,4,23.6,5,38.1,4,47.0,5,28.8,3,33.9,2,27.4,2,40.7,2,4.3,3,1.9,2,6.9,3,26478,4,12425,3,14053,5,53.8,2,48.1,2,10.5,4
0500000US01041,01041,"Crenshaw County, Alabama",13938,2,101,4,80,3,206,2,361,2,327,1,178,5,31,1,176,1,384,3,395,3,13709,4,229,2,166,2,19,3,0,1,0,3,44,4,0,2,0,2,26.9,5,29.0,5,24.3,5,32.5,3,36.8,3,27.3,2,34.0,4,28.0,2,41.2,2,6.7,4,6.2,4,7.2,3,9527,3,4481,2,5046,4,56.9,2,50.5,2,10.7,4
